movieid,detail,genres,poster_image,release_date,title
49,"""",Horror|Thriller|Fantasy,https://image.tmdb.org/t/p/w200/31W5qM3rfsdJwQCWjDRXa00T8xJ.jpg,2023-04-21,엘더리
50,"엘리스 프렌치는 젊고 게이인 흑인 남성으로, 그의 어머니에게 거절당했고, 그의 미래에 대한 선택권이 거의 없이, 그를 제쳐놓는 시스템에서 성공하기 위해 필요한 모든 것을 하면서 해병대에 입대하기로 결심한다. 그러나 그가 뿌리 깊은 편견과 기초 훈련의 힘든 일상과 싸우면서도, 그는 이 새로운 공동체에서 예상치 못한 동료애, 힘, 그리고 지지를 발견하여, 그의 정체성을 형성하고 그의 삶을 영원히 바꿀 수 있는 어렵게 얻은 소속감을 그에게 준다.",Drama,https://image.tmdb.org/t/p/w200/pvx7TwLXVDKD4jbDeAQ7w459zIY.jpg,2022-11-18,디 인스펙션
51,"""",Romance|Drama|Comedy,https://image.tmdb.org/t/p/w200/yGEiqgynu453hMHxOZYtZlisv95.jpg,2023-05-04,러브 어게인
52,"두 딸 ‘메어’, ‘노라’와 함께 시간을 보내기 위해 친구 ‘마틴’이 있는 남아프리카를 찾은 의사 ‘네이트’.  그러나 즐거운 여행도 잠시, 처참히 죽어 있는 마을 사람들을 목격한 이들은 곧이어 이 모든 상황을 벌인 사자에게 맹목적으로 쫓기기 시작한다.  무전조차 터지지 않는 고립된 지역에서 마을을 완전히 장악해버린 사자로부터 벗어나기 위해 서로 의지하며 고군분투하는데…",Thriller|Action|Horror|Adventure|Drama,https://image.tmdb.org/t/p/w200/xp6EOh0HEN4bx4ot8UfcYnUpT8U.jpg,2022-08-11,비스트
53,"무시무시한 살인마 ‘크리퍼’의 존재에 푹 빠져 있는 호러 마니아 ‘체이스’와 그의 여자친구 ‘레인’. 그들은 마을에서 열리는 호러 마니아들의 축제, 호러 하운드 페스티벌에 참석한다. 순간 계속해서 떠오르는 정체 모를 기억과 소름 돋는 느낌에 레인은 혼란스러움을 느끼지만, 페스티벌 속 호러 이벤트에 당첨되어 신난 체이스를 따라 호러 저택 탐험을 떠난다. 한껏 고대하던 저택 탐험을 하게 된 설렘도 잠시, 무언가가 레인을 덮치고 체이스와 탐험 일행들은 피 비린내 나는 저택에 갇히게 되는데... 공포를 쫓던 호러 매니아들, 진짜 공포 ‘크리퍼’에게 쫓기다!",Horror|Thriller|Mystery,https://image.tmdb.org/t/p/w200/yt0lsyn7ortWByXrHRScEmSisvO.jpg,2022-09-15,지퍼스 크리퍼스: 리본
54,,Comedy,https://image.tmdb.org/t/p/w200/hk2kW6uwTEa8cxDeF1UPfIpEYkF.jpg,2023-05-03,Quiero Tu Vida
55,,History|Drama,https://image.tmdb.org/t/p/w200/fdVd6thTstt0MQ4dUC1IXiOXpxv.jpg,2023-04-27,빅 조지 포먼
56,"꿀성대, 수트 핏, 어나더 레벨 액션, 모든 것이 완벽한 스파이 ‘포춘’과 전 세계 최고 요원들이 뭉쳐 세계 평화를 지키기 위해 고군분투하는 첩보 액션 블록버스터",Action|Comedy|Adventure|Thriller,https://image.tmdb.org/t/p/w200/gEFzlw5tnkJYthVfDS8WuIDZAhU.jpg,2023-01-04,스파이 코드명 포춘
57,"도주 중인 클럽 댄서 루시아는 여동생 로시오가 딸 알바와 함께 살고 있는 마드리드 외곽의 불길한 건물로 피신합니다.""""",Drama|Horror|Thriller,https://image.tmdb.org/t/p/w200/vyQmDx5CF8x9T6WKCLuoFotGpjf.jpg,2022-12-02,비너스
58,"""",Action|Thriller,https://image.tmdb.org/t/p/w200/lCanGgsqF4xD2WA5NF8PWeT3IXd.jpg,2023-05-25,칸다하르
59,"내 이름은 사라. 나를 돼지라 부르며 괴롭히던 친구들이 납치당하는 것을 보게 되었다. 작은 마을에서 살인 사건도 벌어졌다.끔찍한 사건의 유일한 목격자가 된 것 같다 그렇다면… 신고한다VS 안 한다""""",Horror|Thriller|Drama,https://image.tmdb.org/t/p/w200/xRdV63kKgWoEwt022e75OBlDeEO.jpg,2022-10-07,피기
60,"단 한번의 실패도 실수도 용납할 수 없는 킬러 ‘알렉스’(리암 니슨). 어느 날, 그에게 새로운 의뢰가 들어온다.  오직 자신의 신념에 따라 움직인 그는 이 사건에 한 소녀가 연관되어 있음을 알게 되고 단칼에 거절한다.  의뢰를 거절했다는 이유로, 모두의 표적이 되어버린 그는 오래된 병으로 인해 희미해져 가는 기억을 붙잡고,  소녀와 자신을 지키기 위해 의뢰에 연관된 모든 것들을 응징하기로 한다.  한편, 멕시코 국경에서 사건을 맹렬히 쫓던 FBI 요원 ‘빈센트’(가이 피어스)는 ‘알렉스’를 만나게 되고, 두 사람은 이 사건의 거대한 비밀과 마주하게 되는데···  사라지는 기억, 더욱 선명해지는 정의! 마지막 응징이 시작된다!",Action|Thriller|Crime,https://image.tmdb.org/t/p/w200/fWkFnlCQLtfIBGnhMKVw2dttEDk.jpg,2022-04-28,메모리
61,,Horror|Thriller,https://image.tmdb.org/t/p/w200/821PHm9tLaoVJFgGfUoIJQTX0nx.jpg,2022-04-07,Surrogate
62,,Mystery|Thriller,https://image.tmdb.org/t/p/w200/8OyzvMrVx2tXjyJiE3GZpvaXE2T.jpg,2023-05-05,살인 초대장
63,"17세 레아는 학교와는 동떨어진 삶을 살고 있다. 매일 친구들과 술이나 마시며 겉도는 자신의 인생에 지루함을 느끼던 어느 날, 친구들의 강요로 본의 아니게 무전취식을 하게 된다. 하지만 식당 주인에게 붙잡혀 곤욕을 치르던 찰나, 어디선가 나타난 의문의 남자 톰의 도움을 받게 된다. 레아는 자신의 나이에 두배 가까운 30대 중반의 톰에게 이제까지 느낄 수 없었던 사랑의 감정을 갖게 되고 이 둘은 급속도로 가까워진다. 하지만 둘의 사이가 진전될수록 레아에게 무언가 숨기는 듯한 톰은 결국 본색을 드러내기 시작하는데…",Drama,https://image.tmdb.org/t/p/w200/jWiSF5VbFeeWZmx7rGgQCsFsLdW.jpg,2023-03-03,야자수와 전선
64,"전국 제패를 꿈꾸는 북산고 농구부 5인방의 꿈과 열정, 멈추지 않는 도전을 그린 영화",Animation|Comedy|Drama,https://image.tmdb.org/t/p/w200/coiJrdXAXuBkSGDvp9bZ7mkuU6E.jpg,2022-12-03,더 퍼스트 슬램덩크
65,,Thriller,https://image.tmdb.org/t/p/w200/xzmmJAa3OX302flRxg6fEf18FLL.jpg,2023-04-12,파툼
66,,Science Fiction|Thriller|Drama|Mystery,https://image.tmdb.org/t/p/w200/A3qrVjsBd4IZ3QWHMs2x1dwRxuX.jpg,2023-04-27,The Artifice Girl
67,,Science Fiction|Thriller,https://image.tmdb.org/t/p/w200/kmDJhZIq1xnu5ZiMOlb0nHJH1qb.jpg,2023-03-29,시뮬런트
68,"한때 잘 나갔던 전설의 스턴트맨 ‘루오’(성룡). 유일한 파트너마 ‘레드 헤어’가 경매에 부쳐질 위기에 처하자 어쩔 수 없이 소원했던 딸 ‘바오’(류호존)에게 연락해 도움을 청한다. ‘바오’는 자신의 변호사 남자친구 ‘미키’(곽기린)와 이를 해결하고자 하고, 조금씩 ‘루오’에게도 마음을 열어간다. 그러던 어느 날, ‘루오’가 ‘레드 헤어’를 지키기 위해 싸웠던 콤비 액션 영상이 SNS를 통해 화제를 모으게 되고, 유명 영화에 참여할 기회까지 찾아오는데…! 스턴트 생활을 청산하길 바라는 딸 ‘바오’와 인생 역전의 기회에서 고민하는 ‘루오’. 과연, 그는 가족과 커리어를 모두 지킬 수 있을 것인가?!",Comedy|Action|Drama|Adventure,https://image.tmdb.org/t/p/w200/8Rnnx17kOFL4mNchdJNzLSdlBZj.jpg,2023-04-07,라이드 온
69,"스무 살이 되던 해, 수 만명 중 1명이 걸리는 난치병으로 10년의 삶을 선고받은 ‘마츠리’는 삶의 의지를 잃은 ‘카즈토’를 만나 사랑에 빠진다. 처음 만난 봄, 즐거운 여름, 아름답던 가을, 깊어진 겨울까지 하루하루 애틋하게 사랑한 두 사람 하지만 쌓이는 추억만큼 줄어드는 시간 앞에 결국 ‘마츠리’는 ‘카즈토’를 떠나기로 결심하는데…",Drama|Romance,https://image.tmdb.org/t/p/w200/y2Ucvit19UUfsdLKlYyDz2ZfToS.jpg,2022-03-04,남은 인생 10년
70,,Documentary,https://image.tmdb.org/t/p/w200/dacx3E91IFXQ66fJLIhTVGSSxDw.jpg,2023-05-20,Tom Hanks: The Nomad
71,"호화 크루즈에 협찬으로 승선한 인플루언서 모델 커플. 각양각색의 부자들과 휴가를 즐기던 사이, 뜻밖의 사건으로 배가 전복되고 8명만이 간신히 무인도에 도착한다. 할 줄 아는 거라곤 구조 대기뿐인 사람들. 이때 존재감을 드러내는 건...""""",Comedy|Drama,https://image.tmdb.org/t/p/w200/ltEblZr0pwTf585kbrZSWyNf4uj.jpg,2022-09-18,슬픔의 삼각형
72,,Animation,https://image.tmdb.org/t/p/w200/aGp9ghdIcw74K2VJ1Godcsb9MQo.jpg,2022-12-28,Inspector Sun y la maldicion de la viuda negra
73,,Comedy|Drama|History,https://image.tmdb.org/t/p/w200/neV35lK7em4rIY9QIoH1cruErPA.jpg,2023-05-11,블랙베리
74,"혈기왕성한 형사 우밍한은 중요한 사건 현장에서 도로에 흩어진 증거물을 수집하던 중 의문의 붉은 봉투를 발견하고 무심코 줍는다. 그때부터 밍한에게 벌어지는 불길한 사건들! 자신에게 다가온 '운명'을 한사코 거부하던 밍한은 거듭되는 생명의 위협에 마지못해 인생 최대의 결심을 하는데... 얼결에 '부부'가 된 귀신과 최악의 빌런을 잡기 위해 인간+귀신 콤비가 벌이는 극강의 공조 수사! 코믹과 액션을 버무리고 감동과 반전까지 가미한, 풀옵션 오감으로 즐기는 블록버스터. 인류애 넘치는 콤비의 격정적인 공조가 마침내 시작된다! 이 콤비도, 두 사람의 공조 수사도 완전히 다 미쳤다!!!",Comedy|Mystery|Action,https://image.tmdb.org/t/p/w200/m9UIiiTDTx6w1gPQgVr8cvgol91.jpg,2023-02-10,메리 마이 데드 바디
75,"서로가 세상의 전부였던 레오와 레미는 친구들에게 관계를 의심받기 시작한다. 이후 낯선 시선이 두려워진 레오는 레미와 거리를 두고, 홀로 남겨진 레미는 걷잡을 수 없는 감정에 빠져들고 만다. 점차 균열이 깊어져 가던 어느 날, 레오는 믿을 수 없는 현실을 마주하게 되는데…",Drama,https://image.tmdb.org/t/p/w200/2zWgF5rHhoi42foPKOayVJQooLd.jpg,2022-11-01,클로즈
76,"펄은 몸이 불편한 아버지를 모시며 어머니와 함께 농장 일을 하며 살고 있다. 하지만 그녀에게 강한 꿈이 있었으니 바로 무용단의 댄서가 되는 것. 전장으로 자원 입대를 한 남편 하워드를 그리워 하는 펄에게 우연히 극장에서 만난 남자가 추파를 던지며 자신과 함께 유럽으로 갈 것을 제안한다. 내적 갈등에 혼란스러워 하는 펄, 게다가 어머니의 강압적인 행동으로 불화도 점점 커지게 된다. 새장에 갇혀 있는 새처럼 살아가는 펄에게  하나의 사건이 발생하게 되고, 마침내 그녀는 이성을 잃게 되는데...",Horror,https://image.tmdb.org/t/p/w200/hQOtPXkgSsCgDuGoqTNbhvB4f7U.jpg,2022-09-16,펄
77,"""",Drama|Comedy,https://image.tmdb.org/t/p/w200/k7fAmDcHwfru0dQdJOVF2RzOEvN.jpg,2023-04-28,Los buenos modales
78,"""",Comedy|Drama,https://image.tmdb.org/t/p/w200/6toz74j1OgbQrsZUjgr2Ohs1AsE.jpg,2023-03-23,어 굿 퍼슨
79,"""",Comedy,https://image.tmdb.org/t/p/w200/fSdvrg6Z37Wcdw7ZhSEFfkAwHrO.jpg,2023-04-21,¡Vaya vacaciones!
80,고집 세고 다혈질인 마이너리그 농구 코치는 사회봉사 명령을 받고 장애인 올림픽 팀을 훈련시키게 되는데…,Comedy,https://image.tmdb.org/t/p/w200/yVgtsoXyTZBww7SWE4JE1U4Wcel.jpg,2023-03-09,챔피언스
81,"2019년, 지구의 파괴와 엄청난 인구증가로 인해 다른 행성을 식민지 이주가 본격화된다. 2주전 6명의 복제 인간 리플리컨트가 식민행성에서 탈출, 23명을 죽이고 우주선을 탈취하여 지구로 잠입한다. 전투용 로이 베티와 리온, 살인 훈련을 받은 조라, 식민행성 군인 클럽 소속의 위안부 프리스가 그들이다. 이들은 타이렐사에 침입하려 하지만 한 사람이 죽고, 직원으로 위장한 리온이 회사 간부의 테스트에 발각되어 도주한다. 이에 경찰은 복제 인간을 구별할 능력을 지닌 블레이드 러너 데커드를 호출하는데...",Science Fiction|Drama|Thriller,https://image.tmdb.org/t/p/w200/6yXqNiVIoJcMhio10Nkb5QMNeh8.jpg,1982-06-25,블레이드 러너: 파이널 컷
82,"""",Animation|Action|Crime|Mystery,https://image.tmdb.org/t/p/w200/gWrZNGfGz68mBrVPn47cBMXPej3.jpg,2023-04-14,명탐정 코난: 흑철의 어영
83,"여행을 끝내고 월요일 귀국을 알린 엄마의 영상통화 그리고 마중 나간 딸. 그러나 엄마가 사라졌다  경찰에 도움을 요청하지만, 결정적인 단서들이 나오지 않는 가운데 딸 준은 엄마의 흔적을 찾기 위해 엄마가 방문한 호텔의 CCTV, 같이 간 지인의 SNS,  거리뷰 지도까지 온라인에 남아있는 모든 흔적을 검색하는데…",Thriller|Mystery,https://image.tmdb.org/t/p/w200/cSelzPRACuavc4f2VDCkFrNT56S.jpg,2023-01-19,서치 2
84,"90년대 한국에서 캐나다로 이주한 소영. 더 좋은 교육 환경을 위해 이민을 선택한 홀어머니 소영에게 아들 동현은 인생의 전부다. 동현은 자라면서 친아버지에 대해 묻지만, 소영은 무슨 이유에서인지 아무런 답을 주지 않는다. 한편 소영에게 한국에서 입양된 한 남자가 다가온다. 그녀는 남자에게 조금씩 마음의 문을 열기 시작하지만, 이로 인해 모자 간의 갈등이 시작된다. 그러던 어느 날, 갑작스럽게 날아든 소식에 모자는 오랫동안 잊고 살았던 한국을 방문해야 하는 일이 생기는데…",Drama,https://image.tmdb.org/t/p/w200/4HfdOH4T3WyQTVwGT1BvQc0dvWB.jpg,2023-03-17,라이스보이 슬립스
85,"""",Romance|Comedy,https://image.tmdb.org/t/p/w200/14fGGPAL5PQxuesjO4CFoDJEH5G.jpg,2023-01-26,왓츠 러브 갓 투 두 위드 잇?
86,"회오리 바람에 휩쓸려 오즈의 나라로 내던져진 도로시는 집으로 되돌아갈 수 있는 유일한 길이 위대한 오즈의 마법사를 만나는 것임을 알고 그를 찾아 긴 여정이 시작된다. 도로시는 애견 토토와 함께 노란 길을 따라 오즈의 마법사가 사는 에메랄드 시티로 향한다. 도중에 만난 세 명의 친구들, 지능을 얻고자 하는 허수아비와 심장을 원하는 양철 나뭇꾼, 용기를 가지고 싶어하는 겁장이 사자와 함께 오즈의 마법사에게 자신의 소원이 이루어지도록 부탁하기 위해 도로시와 함께 경쾌한 발걸음을 옮긴다. 그러나 도로시 일행을 방해하기 위해 뒤쫓아오는 서쪽 나라 마녀의 검은 그림자.""""",Adventure|Fantasy,https://image.tmdb.org/t/p/w200/yyWpOqSAd8uewpzrnPI9IiBhzSs.jpg,1939-08-15,오즈의 마법사
87,"SOFT & QUIET 라는  같은 생각을 가진 여성들의 창립 동아리 모임을 조직하는 초등학교 교사 에밀리.  모임에서 그녀는 와인을 계속 마시기 위해 모임을 에밀리의 집으로 옮기기로 결정한다.  다과를 사러 들린 동네 가게에서 에밀리와 그룹 사이에 말다툼이 발생하여 불안정한 기류속에 일련의 사건이 발생한다.""""",Drama|Horror|Mystery|Thriller,https://image.tmdb.org/t/p/w200/hrtO0sVcXolaiIjVoOADO2M24jm.jpg,2022-11-04,소프트 & 콰이어트
88,"""",Horror,https://image.tmdb.org/t/p/w200/qDNZWDJGU2LTPpPpVGPQMxKv8xl.jpg,2022-04-21,바이러스: 32
89,"난생 처음 극장에서 스크린을 마주한 순간부터 영화와 사랑에 빠진 소년 ‘새미’(가브리엘 라벨). 아빠 ‘버트’(폴 다노)의 8mm 카메라를 들고 일상의 모든 순간을 담기 위해 열중하던 새미는 우연히 필름에 포착된 가족의 비밀을 알게 되고 충격에 휩싸인다. 진실을 비추는 필름의 힘을 실감한 새미에게 크고 작은 삶의 변화가 일어나고 엄마 ‘밋지’(미셸 윌리엄스)의 응원으로 영화를 향한 열정은 더욱 뜨거워져만 가는데… 영원히 간직하고픈 기억, 영화의 모든 순간과 사랑에 빠진다!",Drama,https://image.tmdb.org/t/p/w200/5CnS0yIkuLZbvUa0Nl4E5HIFxvs.jpg,2022-11-11,파벨만스
90,"인종차별적 비방에 격분한 마티아스는 동료를 때려눕히고 야반도주한다. 고향에 돌아온 그는 옛 연인 칠러와 재회하는데, 칠러가 일하는 빵 공장은 최저임금으로 주민 고용이 어려워지자 외국인 노동자를 데려오기 시작한다. 어느새 작은 마을은 적대감과 분열로 들썩거린다.",Drama,https://image.tmdb.org/t/p/w200/5Sq2460CtKPxwJAbD1kKC60yRcD.jpg,2022-06-03,R.M.N.
91,"앨리스는 어릴 적 친구 테스, 소피와 와인 바에서 만나 저녁을 먹는다. 소피는 테스의 생일을 축하하기 위해 주말에 별장으로 여행을 가자고 제안한다. 남자친구 사이먼의 전화를 받은 앨리스는 불안한 눈빛으로 집으로 돌아간다. 앨리스는 테스와 소피를 좋아하지 않는 사이먼의 눈치를 보며 콜린의 판매 일 때문에 주말에 출장을 가야 한다고 거짓말한다. 사이먼은 테스의 별장에 있는 앨리스에게 빨리 돌아오라고 문자를 보낸다. 앨리스는 사이먼의 압력과 친구의 우정 사이에서 내적 갈등을 겪는다. 앨리스가 사이먼으로부터 심각한 정신적 학대를 받고 있었다는 사실이 드러난다. 마음대로 앨리스의 이메일을 열어본 사이먼은 집으로 오라고 압박한다. 테스는 앨리스가 집으로 가는 걸 막기 위해 그녀의 휴대폰과 지갑을 숨긴다. 테스와 소피는 앨리스가 사이먼에게 심리 지배(가스라이팅)되고 있음을 알게 되는데...""""",Thriller|Mytery|Drama,https://image.tmdb.org/t/p/w200/ybqS7I4tuMs1TIssvuLMk2lYlLe.jpg,2022-12-30,"앨리스, 달링"
92,"""",Drama,https://image.tmdb.org/t/p/w200/9yMQxHIQERFxNPnbbhxOO8nqVdq.jpg,2023-03-31,어 사우전드 앤 원
93,"광산촌 슬랙 계곡의 기계 견습공인 고아 소년 파즈는 어느날 빛이 나는 목걸이를 한 채 하늘에서 떨어지던 소녀시타를 구해준다. 소녀는 대대로 전해져 오던 목걸이(비행석)로 인해 정부군과 해적 도라 일당들에게 쫓기고 있던 신세. 시타가 이들로부터 무사히 도망갈 수 있게 도와주던 중 파즈는 비행석과 하늘에 떠 있는 성 라퓨타가 실제로 존재한다는 사실을 알게 된다. 라퓨타의 존재를 믿고 있던 파즈는 시타와 함께 라퓨타를 찾기로 결심한다. 하지만 파즈와 시타는 그들을 쫓던 군대에게 잡히고, 시타는 정부 비밀 조사관인 무스카에게 파즈를 풀어주는 조건으로 협력을 약속하는데...",Adventure|Fantasy|Animation|Action|Romance,https://image.tmdb.org/t/p/w200/6sOF31DzWgd9dTI1SEE76V2lCyx.jpg,1986-08-02,천공의 성 라퓨타
94,"베트남 납치 살해범 검거 후 7년 뒤, 마석도는 새로운 팀원들과 함께 살인사건을 조사한다. 사건 조사 중, 마석도는 신종 마약 사건이 연루되었음을 알게 되고 수사를 확대한다. 한편, 마약 사건의 배후인 주성철은 계속해서 판을 키워가고 약을 유통하던 일본 조직과 리키까지 한국에 들어오며 사건의 규모는 점점 더 커져가는데...",Crime|Action,https://image.tmdb.org/t/p/w200/jbremGnsRR4XZMDj97YHt20isRP.jpg,2023-05-31,범죄도시 3
95,,Western|Thriller,https://image.tmdb.org/t/p/w200/1AnXfjxFqMsQmUPSvt9YxUJhfFw.jpg,2022-09-30,데드 포 어 달러
96,,Animation|Fantasy|Adventure,https://image.tmdb.org/t/p/w200/a3ZpDsvNCQUOD7ApAs9y3mFwVU4.jpg,2022-05-26,Mia and Me: The Hero of Centopia
97,"19세기 말 런던. 공화국의 스파이 집단인 팀 백비둘기가 새로운 임무를 수행하게 되었다.  어느 헌책방 점주의 공화국으로의 주고.왕국에 의해 구치소에 구속되어 있던 헌책점주를 안제와 도로시, 치세의 제휴로 탈환에 성공한다. 한편 그 무렵, 왕국에서는 여왕 암살 미수 사건을 계기로 ""간첩 사냥""이 격렬해져, 공화국측의 컨트롤에서는 긴장이 긴장되고 있었다. 컨트롤은 왕국 왕실에 파견하고 있는 스파이가 ""이중 스파이""일 가능성이 있다고 추측, 진상을 파악하기 위해 팀 백비둘기에 왕실 내에 파견하고 있는 스파이, 코드네임 ""비숍""과의 접촉을 명한다. 과연 새로운 임무의 향방은.  그리고 ""비숍""은 무엇일까?",Animation|Action|Adventure|Drama|Mystery,https://image.tmdb.org/t/p/w200/zjxBUYSV6o1kEeXSA9lYkaZxoFf.jpg,2021-02-11,프린세스 프린서플 Crown Handler 제1장
98,"다부진 체격, 깔끔한 정장 그리고 그윽한 담배 연기. 할리우드의 탐정 ‘말로’(리암 니슨)는 사라진 애인을 찾아 달라는 매력적인 여인 '캐빈디시'(다이앤 크루거)의 의뢰를 받아 조사에 나서고, 거대한 조직에 얽힌 충격적인 비밀을 마주하게 되는데… 역사상 가장 매력적인 하드보일드 탐정이 온다!",Mystery|Thriller|Crime,https://image.tmdb.org/t/p/w200/vjAMj81oYBryzGBhJk4gcK0M636.jpg,2023-02-15,탐정 말로
99,"라모나는 새 출발을 꿈꾸며 남자친구인 니코와 함께 마드리드로 이사를 한다. 그녀는 배우가 되고 싶기도 하고 남자친구와 함께 행복하게 아기를 낳아 엄마가 되고 싶기도 하다. 또한 도시에서 가장 좋은 동네에서 살고 싶어한다. 첫 오디션을 보기 전날, 그녀는 우연히 마주친 브루노라는 중년 남자를 만나게 되는데 순간 서로가 인연이라는 걸 느끼기 시작한다.",Drama|Comedy|Romance,https://image.tmdb.org/t/p/w200/e28wCEppwIIkdR2JIZZI7NODea2.jpg,2022-11-25,라모나
100,,Drama,https://image.tmdb.org/t/p/w200/rQsoCFfqZTjz4XtQIpCb51ueRfW.jpg,2023-06-01,Padre Pio
